text,label
The screen is stuck on a loading spinner.,tech_support
My order seems stuck at a sorting facility.,shipping_delay
Received the wrong item—requesting a refund.,refund_request
How do I change the email linked to my account?,account_access
What's the warranty period for this product?,product_question
Please process my refund; the item arrived damaged.,refund_request
My subscription price changed without notice.,billing_issue
Why is there an extra $92.62 on my bill?,billing_issue
App crashes on launch on Windows 11,tech_support
Is model XR200 compatible with 5GHz Wi‑Fi?,product_question
Delivery was promised by 2025-11-03 but still not here.,shipping_delay
I didn't receive the verification code via SMS.,account_access
Tracking hasn't updated since 30 days ago.,shipping_delay
The invoice shows the wrong total for order #225078.,billing_issue
What's the warranty period for this product?,product_question
Does the camera include night mode?,product_question
I'm unable to enable two‑factor authentication.,account_access
Is the phone water‑resistant or just splashproof?,product_question
Getting error code CODE-123 whenever I try to connect.,tech_support
Can't log in after the last update.,tech_support
Is the phone water‑resistant or just splashproof?,product_question
The router keeps disconnecting every 10 minutes.,tech_support
I was charged twice for order #022768.,billing_issue
My account is locked after too many attempts.,account_access
I returned the product and need my money back.,refund_request
Please process my refund; the item arrived damaged.,refund_request
The router keeps disconnecting every 2 minutes.,tech_support
My account is locked after too many attempts.,account_access
The invoice shows the wrong total for order #988348.,billing_issue
I returned the product and need my money back.,refund_request
Please process my refund; the item arrived damaged.,refund_request
I'm unable to enable two‑factor authentication.,account_access
I was charged twice for order #650072.,billing_issue
My subscription price changed without notice.,billing_issue
My subscription price changed without notice.,billing_issue
Received the wrong item—requesting a refund.,refund_request
My account is locked after too many attempts.,account_access
Delivery was promised by 2025-10-31 but still not here.,shipping_delay
Tracking hasn't updated since 10 days ago.,shipping_delay
I want a refund for order #343538.,refund_request
Please process my refund; the item arrived damaged.,refund_request
Received the wrong item—requesting a refund.,refund_request
Please process my refund; the item arrived damaged.,refund_request
Does this laptop support RAM upgrade to 5GB?,product_question
Where is my package? It's 15 days late.,shipping_delay
How do I change the email linked to my account?,account_access
What's the warranty period for this product?,product_question
My order seems stuck at a sorting facility.,shipping_delay
I was charged twice for order #935868.,billing_issue
App crashes on launch on iOS 18,tech_support
Why is there an extra $124.75 on my bill?,billing_issue
Getting error code NET_TIMEOUT whenever I try to connect.,tech_support
Expected delivery date changed without explanation.,shipping_delay
Is the phone water‑resistant or just splashproof?,product_question
Please fix the overcharge on transaction #420055.,billing_issue
How do I change the email linked to my account?,account_access
App crashes on launch on iOS 18,tech_support
I forgot my password and can't reset it.,account_access
The invoice shows the wrong total for order #980765.,billing_issue
Where is my package? It's 20 days late.,shipping_delay
Is model XR200 compatible with 5GHz Wi‑Fi?,product_question
Can't log in after the last update.,tech_support
Does this laptop support RAM upgrade to 10GB?,product_question
Expected delivery date changed without explanation.,shipping_delay
Why is there an extra $37.80 on my bill?,billing_issue
Is model XR200 compatible with 5GHz Wi‑Fi?,product_question
The invoice shows the wrong total for order #026219.,billing_issue
Delivery was promised by 2025-11-08 but still not here.,shipping_delay
Why is there an extra $61.91 on my bill?,billing_issue
My account is locked after too many attempts.,account_access
Expected delivery date changed without explanation.,shipping_delay
I was charged twice for order #203229.,billing_issue
The router keeps disconnecting every 2 minutes.,tech_support
The invoice shows the wrong total for order #811511.,billing_issue
Can't log in after the last update.,tech_support
I'm unable to enable two‑factor authentication.,account_access
How long do refunds take for canceled orders?,refund_request
My order seems stuck at a sorting facility.,shipping_delay
Where is my package? It's 10 days late.,shipping_delay
My account is locked after too many attempts.,account_access
Does the camera include night mode?,product_question
I want a refund for order #281045.,refund_request
Does this laptop support RAM upgrade to 5GB?,product_question
My order seems stuck at a sorting facility.,shipping_delay
I want a refund for order #791011.,refund_request
The router keeps disconnecting every 30 minutes.,tech_support
Where is my package? It's 15 days late.,shipping_delay
The router keeps disconnecting every 20 minutes.,tech_support
Does the camera include night mode?,product_question
Delivery was promised by 2025-11-05 but still not here.,shipping_delay
The router keeps disconnecting every 15 minutes.,tech_support
Received the wrong item—requesting a refund.,refund_request
Getting error code CODE-123 whenever I try to connect.,tech_support
Delivery was promised by 2025-11-11 but still not here.,shipping_delay
I'm unable to enable two‑factor authentication.,account_access
The router keeps disconnecting every 5 minutes.,tech_support
I didn't receive the verification code via SMS.,account_access
Is the phone water‑resistant or just splashproof?,product_question
I returned the product and need my money back.,refund_request
How long do refunds take for canceled orders?,refund_request
I was charged twice for order #617139.,billing_issue
Please process my refund; the item arrived damaged.,refund_request
Is model XR200 compatible with 5GHz Wi‑Fi?,product_question
The router keeps disconnecting every 20 minutes.,tech_support
I forgot my password and can't reset it.,account_access
My account is locked after too many attempts.,account_access
I didn't receive the verification code via SMS.,account_access
What's the warranty period for this product?,product_question
My account is locked after too many attempts.,account_access
App crashes on launch on Windows 11,tech_support
The router keeps disconnecting every 2 minutes.,tech_support
Why is there an extra $197.71 on my bill?,billing_issue
How long do refunds take for canceled orders?,refund_request
Delivery was promised by 2025-11-04 but still not here.,shipping_delay
My subscription price changed without notice.,billing_issue
Tracking hasn't updated since 15 days ago.,shipping_delay
Is the phone water‑resistant or just splashproof?,product_question
I didn't receive the verification code via SMS.,account_access
Received the wrong item—requesting a refund.,refund_request
Does the camera include night mode?,product_question
